id,genre_type
1,beatlesque
2,australian psych
3,alternative hip hop
4,chicago rap
5,art pop
6,neo soul
7,afrofuturism
8,alternative metal
9,classic soul
10,dance pop
11,conscious hip hop
12,hip hop
13,edmonton indie
14,adult standards
15,brill building pop
16,r&b en espanol
17,barbadian pop
18,funk
19,dark pop
20,brooklyn indie
21,alternative r&b
22,anime
23,pop
24,hip pop
25,east coast hip hop
26,experimental guitar
27,alternative rock
28,bossa nova
29,album rock
30,disco
31,permanent wave
32,atl hip hop
33,canadian hip hop
34,bedroom pop
35,abstract hip hop
36,art punk
37,contemporary r&b
38,pluggnb
39,belgian pop
40,jazz house
41,electro
42,canadian indie
43,classic rock
44,blues
45,detroit hip hop
46,pop rap
47,bachata
48,garage rock
49,bedroom soul
50,birmingham grime
51,neo-psychedelic
52,trip hop
53,virginia hip hop
54,swedish synthpop
55,noise pop
56,trap
57,swedish electropop
58,new rave
59,r&b
60,southern hip hop
61,power electronics
62,urban contemporary
63,soul
64,indie soul
65,rap
66,colombian pop
67,new isolationism
68,uk contemporary r&b
69,melodic rap
70,indietronica
71,indie rock
72,uk pop
73,vapor trap
74,toronto rap
75,slap house
76,singer-songwriter
77,experimental r&b
78,soft rock
79,mandible
80,new americana
81,hardcore hip hop
82,atl trap
83,experimental pop
84,tropical house
85,rock
86,ohio hip hop
87,canadian trap
88,north carolina hip hop
89,roots rock
90,electropop
91,industrial noise
92,neo mellow
93,gothenburg indie
94,electronica
95,pop soul
96,new orleans rap
97,punk blues
98,philly rap
99,memphis hip hop
100,piano blues
101,wu fam
102,spirituals
103,vogue
104,mellow gold
105,gangster rap
106,fluxwork
107,la pop
108,modern folk rock
109,nyc rap
110,boom bap
111,uk hip hop
112,south african pop dance
113,zolo
114,dream pop
115,modern rock
116,new orleans blues
117,underground rap
118,southern soul
119,shimmer pop
120,electra
121,folk rock
122,solo wave
123,la indie
124,outsider house
125,tanzanian pop
126,swedish soul
127,lilith
128,quiet storm
129,miami hip hop
130,harlem hip hop
131,uk alternative hip hop
132,south african house
133,uk funky
134,collage pop
135,modern blues rock
136,louisiana blues
137,jazz rap
138,lgbtq+ hip hop
139,folk
140,rap rock
141,indie surf
142,death industrial
143,bongo flava
144,escape room
145,scandinavian r&b
146,violao
147,queens hip hop
148,lo-fi
149,london rap
150,deep house
151,downtempo
152,post-punk
153,chillwave
154,british soul
155,canadian pop
156,viral pop
157,garage rock revival
158,west coast rap
159,jazz blues
160,symphonic rock
161,underground hip hop
162,synthpop
163,hyperpop
164,country rock
165,p funk
166,devon indie
167,deconstructed club
168,danish experimental
169,azontobeats
170,pop r&b
171,acoustic pop
172,dirty south rap
173,samba
174,old school hip hop
175,grime
176,afro house
177,psychedelic soul
178,chamber psych
179,piano rock
180,uk alternative pop
181,uk dancehall
182,bassline
183,indie r&b
184,psychedelic rock
185,traphall
186,new wave pop
187,classic uk pop
188,florida rap
189,candy pop
190,indie punk
191,techno kayo
192,reggae fusion
193,mpb
194,hip house
195,indie pop
196,sophisti-pop
197,modern reggae
198,russian plugg
199,new wave
200,sacramento indie
201,blues rock
202,sheffield indie
203,house
204,merseybeat
205,soulful house
206,golden age hip hop
207,new romantic
208,northern soul
209,motown
210,trap dominicano
211,bubblegrunge
212,japanese new wave
213,reggae
214,melancholia
215,jazz guitar
216,oxford indie
217,elephant 6
218,memphis soul
219,dancehall
220,alternative dance
221,psychedelic hip hop
222,funk rock
223,uk garage
224,canadian contemporary r&b
225,electric blues
226,g funk
227,progressive rock
228,indie hip hop
229,jamaican hip hop
230,classic house
231,rap metal
232,rap latina
233,post-teen pop
234,laboratorio
235,classic city pop
236,spectra
237,indie folk
238,cool jazz
239,hard rock
240,chamber pop
241,trap queen
242,dance rock
243,glitchcore
244,garage house
245,punk
246,tropical
247,instrumental grime
248,british invasion
249,black americana
250,chicago house
251,nu metal
252,lo-fi indie
253,classic girl group
254,dominican pop
255,anime score
256,lo star
257,pastoral
258,metropopolis
259,eau claire indie
260,boston rock
261,brazilian jazz
262,art rock
263,anti-folk
264,plugg
265,glitchbreak
266,filter house
267,latin pop
268,chill r&b